Product_Name, Price, Rating 
Apple iPhone 11 (Black | 64 GB),Rs.68300,4.7
Apple iPhone 11 (White | 64 GB),Rs.68300,4.7
Apple iPhone SE (Black | 64 GB),Rs.42500,4.5
Apple iPhone 7 (Black | 32 GB),Rs.29499,4.5
Apple iPhone SE (White | 64 GB),Rs.42500,4.5
Apple iPhone SE (Red | 64 GB),Rs.42500,4.5
Apple iPhone 11 (White | 128 GB),Rs.73600,4.7
Apple iPhone XR (White | 64 GB),Rs.52500,4.6
Apple iPhone 11 (Black | 128 GB),Rs.73600,4.7
Apple iPhone SE (Black | 128 GB),Rs.47800,4.5
Apple iPhone 11 (Green | 64 GB),Rs.68300,4.7
Apple iPhone 11 (Green | 128 GB),Rs.73600,4.7
Flipkart SmartBuy Tempered Glass Guard for Apple iPhone...,Rs.179,3.4
Apple iPhone SE (White | 128 GB),Rs.47800,4.5
Apple iPhone 11 (Purple | 128 GB),Rs.73600,4.7
Apple iPhone SE (Red | 128 GB),Rs.47800,4.5
Apple iPhone 11 (Purple | 64 GB),Rs.68300,4.7
Apple iPhone 11 (Red | 128 GB),Rs.73600,4.7
Apple iPhone 7 Plus (Black | 32 GB),Rs.36999,4.5
Apple iPhone 11 (Red | 64 GB),Rs.68300,4.7
